Program,Round,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Industry Research Fellowships,AQ Industry Research Fellowships 2022 Round 5,The University Of Queensland,St Lucia,4067.0,, Elemental Laboratories Pty Ltd,Cost-Effective Iron-Flow-Battery For Next-Generation Large-Scale Energy Storage Applications - Md Masud Rana,St Lucia,4072.0,"139B Latrobe Terrace, Paddington, Qld 4064",15/12/2022,Brisbane (C),Brisbane And Redlands,Maiwar,240000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,The University Of Queensland,St Lucia,4067.0,," Anderson Horticulture 
 The AvoTree Nursery 
 Costa Group 
 Department of Agriculture and Fisheries",Innovating Avocado For Indoor Cropping - Advanced Climate-Smart Production Systems. Christopher O'Brien,Indooroopilly,4068.0,"Meadowvale Qld, Childers Qld, Atherton Tablelands Far North Queensland, Duranbah Nsw",20/10/2021,Brisbane (C),Brisbane And Redlands,Maiwar,240000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,University Of Queensland,St Lucia,4067.0,, EMvision Medical Devices Ltd,Graph-Based Learning Approaches For Monitoring Clinical Outcome Of Stroke Patients - Guohun Zhu,St Lucia,4072.0,,20/10/2021,Brisbane (C),Brisbane And Redlands,Maiwar,240000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,University Of Southern Queensland,Darling Heights (Toowoomba),4350.0,," Zero Waste Matters 
 Plastic and Rubber Technical Education Centre (PARTEC) 
 Austrak Pty Ltd.",Integrating Waste Plastics Into Sleeper For Sustainable Railway Infrastructure - Wahid Ferdous,Darling Heights,4350.0,"140 Creek St, Brisbane City Qld 4000; 1030 Cavendish Rd, Mount Gravatt Qld 4122; And 1/271A South Street, Toowoomba Qld 4350",20/10/2021,Toowoomba (R),Darling Downs,Toowoomba South,160000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Queensland University Of Technology,Kelvin Grove,4059.0,," Freshbitz Pty Ltd 
 Zeolite Australia Pty Ltd 
 SynBio Pty Ltd 
 The Environmental Development Group Pty Ltd",Advanced Engineered Materials From Queensland Natural Resources  John Outram,Brisbane City,4000.0,"Redlands, Qld; Emerald, Qld; Escott, Nsw; Banyo, Qld",20/10/2021,Brisbane (C),Brisbane And Redlands,Mcconnel,240000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University Of Queensland - Rural Clinical School,South Toowoomba,4350.0,," University of South Australia 
 University of Queensland - Southern Queensland Rural Health",Impact Of And Implications Beyond Covid-19 On Clinical Supervision Of Staff And Students In Hospital And Health Settings - Priya Martin,Mount Lofty,4350.0,Research Sites - Darling Downs And South West Hospital And Health Services,16/07/2020,Toowoomba (R),Darling Downs,Toowoomba South,86952.0
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University Of Queensland,St Lucia,4067.0,," Urban Utilities 
 BGI Australia 
 Queensland Health",Combating The Transmission Of Coronavirus In Urban Water Systems Through Novel Disinfection - Ji Lu,St Lucia,4067.0,"Pinkenba, Brisbane, Qld",16/07/2020,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,University Of Southern Queensland,Springfield Central,4300.0,," Cogninet Australia Pty Ltd 
 NetCare Holdings Pty Ltd 
 Metro North Hospital and Health Service",Using Artificial Intelligence To Prioritise Emergency Calls For Suicide Prevention Due To Covid-19 Pandemic - Rajib Rana,Springfield Central,4300.0,"Mermaid Beach, Qld; Herston, Qld",16/07/2020,Ipswich (C),Ipswich,Jordan,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University Of Queensland,St Lucia,4067.0,," Queensland Ballet Company 
 La Boite Theatre Ltd 
 Arts Nexus Inc",Creating Out Loud: Developing Sustainable Peer-Mentoring To Rebuild The Arts Post Covid-19  Kate Power,St Lucia,4067.0,"Brisbane, Cairns",16/07/2020,Brisbane (C),Brisbane And Redlands,Maiwar,90000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University Of Queensland,St Lucia,4067.0,," Mater Misericordiae Ltd 
 Khondrion BV",Mitokhondrion: Decreasing Covid-19 Mortality By Increasing The Functioning Of Our CellS Powerhouses  Mitchell Sullivan,Woolloongabba,4102.0,"The University Of Queensland, St Lucia, Brisbane, 4072: Mater Hospital, Woolloongabba, Brisbane, 4101",16/07/2020,Brisbane (C),Brisbane And Redlands,Maiwar,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University Of Queensland - Rbwh - Herston,Herston,4029.0,," The Royal Brisbane and Women's Hospital 
 Princess Alexandra Hospital 
 Department of Health - Forensic and Scientific Services 
 Department of Health - Pathology Queensland",Automating Infectious Disease Surveillance With Artificial Intelligence - Brian Forde ,Herston,4029.0,,16/07/2020,Brisbane (C),Brisbane And Redlands,Maiwar,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,University Of The Sunshine Coast,Sippy Downs,4556.0,, Sunshine Coast Hospital and Health Service,Covibac: Host Response And Secondary Pneumonia In Covid-19 - Olusola Olagoke,Birtinya,4575.0,"90 Sippy Downs Dr, Sippy Downs, Qld, 4556",16/07/2020,Sunshine Coast (R),Sunshine Coast,Buderim,90000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Griffith University,Nathan,4111.0,," Australian Macadamia Society Limited 
 University of Melbourne 
 Macadamias Direct 
 CL MACS 
 Suncoast Gold 
 K D Barber and KH Jones T/A Cropwatch Independent Laboratories 
 Marquis Macadamias 
 The Trustee for Emerald First Unit Trust T/A Applied Infrared Sensing",Advancing Queensland Nut Industry Using Machine Vision - Shahla Hosseini Bai,Nathan,4111.0,Bundaberg Qld; Gympie Dld; Wardell Nsw,20/10/2021,Brisbane (C),Brisbane And Redlands,Toohey,360000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Griffith University,Nathan,4111.0,," Raw Power Systems Pty Ltd (RPS) 
 Visio Recycling",Production Of Value-Added Products From Waste Extinguishers And Tyres  Tak Kim,Nathan,4111.0,"Yatala, Qld / Parkwood, Qld",20/10/2021,Brisbane (C),Brisbane And Redlands,Toohey,240000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Queensland University Of Technology,Brisbane City,4000.0,, Tree Crop Technologies Pty Ltd trading as Verterra,Artificial Intelligence Enabled Mine Site Rehabilitation - Kien Nguyen,Brisbane City,4000.0,"2 George St, Brisbane City, 4000, Qld",20/10/2021,Brisbane (C),Brisbane And Redlands,Mcconnel,360000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Central Queensland University,Norman Gardens,4701.0,," SynBio Pty Ltd 
 Northern Oil Refinery Pty Ltd",Cheaper Greener Queensland: Optimising Renewable Fuel Production From Mixed-Waste - Jahirul Islam,Norman Gardens,4701.0,"39 Guerassimoff Road, Yarwun, Qld 4694",20/10/2021,Rockhampton (R),Central Queensland,Keppel,360000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Central Queensland University,Norman Gardens,4701.0,, DIT Agtech Limited,New Methane Mitigation Technology To Increase QueenslandS Beef Industry Sustainability Diogo Costa,Kawana,4701.0,"Belmont Research Station, Rockhampton, Qld; And Dit Clients At ParawayS Rocklands Station, Camooweal, Qld And YelvertoftS Coolreagh Station, Mount Isa, Qld",20/10/2021,Rockhampton (R),Central Queensland,Keppel,240000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Griffith University,Nathan,4111.0,," Beam Mobility 
 Neuron Mobility 
 Townsville City Council 
 Brisbane City Council 
 Department of Transport and Main Roads",Transforming Queensland Tourism With Micro-Transport  Abraham Leung,Nathan,4111.0,"Brisbane, Townsville",20/10/2021,Brisbane (C),Brisbane And Redlands,Toohey,240000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,," Mount Isa Mines Limited 
 Magotteaux Australia Pty Ltd 
 Solvay Technology Solutions",Overcoming Pyrite Challenges In QueenslandS Ore Reserves And Mine Tailings  Elizaveta Forbes,Indooroopilly,4068.0,"Mount Isa Mines - Railway Ave, Mount Isa Qld 4825 & Head Office Of Mount Isa Mines Parent Company - Glencore Queensland - 160 Ann St, Brisbane City Qld 4000",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,, Australian Coal Research Limited,Sensor Development To Push Boundaries Of Fine Coal Recovery - Hangil Park,St Lucia,4067.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,," Arrow Energy Pty Ltd 
 Santos Limited 
 Australia Pacific LNG Pty Ltd",Sustainable Enhancement Of Coal Seam Gas Production In Queensland - Christopher Leonardi,St Lucia,4067.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,," Department of Agriculture and Fisheries 
 Nufarm Australia Limited 
 Tropical Pines Pty Ltd 
 Howe Farming Enterprises Pty Ltd 
 Genesearch Pty Ltd",Rna Vaccines For Next Generation Crop Protection Against Fungal Pathogens - Anne Sawyer,St Lucia,4067.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,, Australian Coal Research Limited,Better Tailings Dewatering Technology For Queensland Coal Industry  Majid Ejtemaei,St Lucia,4067.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,65587.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,, Magnetica Limited,The Development Of Critical Components For Compact Musculoskeletal Mri Scanners - Fangfang Tang,Eagle Farm,4009.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,," Aquatec Maxcon Pty Ltd 
 Ridley Corporation Ltd 
 GHD Pty Ltd 
 Ingham & Co Pty Ltd",Protein-Rich Feed Production From Agri-Industrial Wastewaters By Phototrophic Bacteria - Tim Hüelsen,Murarrie,4172.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,, Printed Energy Pty Ltd,Low-Cost And Printable Thin-Film Batteries For Self-Powered Electronic Devices-Miaoqiang Lyu,St Lucia,4067.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,171361.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,University Of The Sunshine Coast,Sippy Downs,4556.0,," Forest and Wood Products Australia Limited 
 Department of Agriculture and Fisheries 
 HQPlantations Pty Ltd 
 National Sirex Coordination Committee 
 Plant Health Australia",Biological Invasions In Forestry: Drivers & Mitigation For Industry'S Biosecurity - Helen Nahrung,Dutton Park,4102.0,,22/10/2018,Sunshine Coast (R),Brisbane And Redlands,Buderim,283135.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Central Queensland University,Norman Gardens,4701.0,, Perfection Fresh Australia Pty Ltd,Automating Crop Estimation And Harvest Of Calypso Mango - Zhenglin Wang,Norman Gardens,4701.0,"Ontario Farms, Dimbullah, Qld.; Simpsons Orchards, Childers, Qld.; Daf Mareeba, Qld; Perfection Fresh, Brisbane Markets, Rocklea, Qld.",18/11/2019,Rockhampton (R),Central Queensland,Keppel,82440.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Griffith University,Southport,4222.0,," Queensland Urban Utilities 
 Sydney Water Corporation 
 South Australia Water Corporation 
 Eurofins Environmental Testing Australia Pty Ltd",Risks Of Microplastics In Biosolids To Soils And Agro-Ecosystems - Shimaalsadat Ziajahromi,Southport,4215.0,"Darra Qld 4076, Australia (Sas Laboratories)/   Fortitude Valley Qld 4006 (Quu)",18/11/2019,Gold Coast (C),Gold Coast,Bonney,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,University Of The Sunshine Coast,Sippy Downs,4556.0,, Sunshine Coast Hospital and Health Service,Next-Generation Diagnostics For Chronic Lung Disease Infections - Erin Price,Birtinya,4575.0,,22/10/2018,Sunshine Coast (R),Sunshine Coast,Buderim,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,, Whitsunday Moorings and Marine Construction Pty. Ltd.,Autonomous Microwave Inspection Systems For Civil And Marine Industry  Adnan Trakic,St Lucia,4067.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,256630.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,," Sustainable Solutions International Pty Ltd 
 Synergen Met Limited",A Technology Of Pfas Remediation For Decontaminating Surface And Ground Water-Pradeep Shukla,Indooroopilly,4068.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,, Flew Solutions Australia Pty Ltd,High Capacity And Low Cost Rechargeable Multivalent Metal Ion Batteries - Xiaodan Huang,St Lucia,4067.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,288862.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University Of Technology - Herston,Herston,4006.0,," Bionics Queensland Limited 
 Konica Minolta Business Solutions Australia Pty Ltd 
 Metro North Hospital and Health Service",Biofabrication For Advanced Burn Treatments With Next-Generation 3D Healthcare Technology - Sean Powell,Brisbane City,4000.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Mcconnel,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University Of Technology,Kelvin Grove,4059.0,, Metro North Hospital and Health Service - Royal Brisbane and Women's Hospital,A Protocol To Assess Chest Pain In The Emergency Department-Jaimi Greenslade,Herston,4006.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Mcconnel,297375.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University Of Technology,Kelvin Grove,4059.0,," Metro North Hospital and Health Service 
 Mater Misericordiae Ltd",Patient-Reported Outcomes And Cost-Effectiveness Of Innovations Within Queensland Maternity Services - Elizabeth Martin,South Brisbane,4101.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Mcconnel,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University Of Technology - Herston,Herston,4006.0,," Bionics Queensland Limited 
 Konica Minolta Business Solutions Australia Pty Ltd 
 The University of Queensland - RBWH - Herston",Biofabrication For Orthopaedic And Soft Tissue Implants  Asha Mathew,Herston,4006.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Mcconnel,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Central Queensland University,Norman Gardens,4701.0,, Australian Wool Innovation Limited,Autonomous Remote Predation And Disease Detection Of Sheep - Jaime Manning,Barcaldine,4725.0,,22/10/2018,Rockhampton (R),Outback Queensland,Rockhampton,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University Of Technology,Brisbane City,4000.0,," CARP Pharmaceuticals Pty Ltd 
 Metro South Hospital and Health Service - Princess Alexandra Hospital",Advanced Molecular Design Of Potent Chemotherapeutic Agents  Neha S.Gandhi,Woolloongabba,4102.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Mcconnel,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University Of Technology,Brisbane City,4000.0,," NQ Banana Research Pty Ltd 
 LaManna Premier Group Pty Ltd",Gene Edited Cavendish Bananas Resistant To Fusarium Wilt Tr4 - Upendra Shekhawat,Brisbane City,4000.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Mcconnel,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,," Noja Power Switchgear Pty Ltd 
 Energy Queensland Limited",High-Precision Condition Monitoring Of Critical Equipment In Modern Distribution Networks - Feifei Bai,St Lucia,4067.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,," Rio Tinto Aluminium Limited 
 Queensland Alumina Limited",Developing Mineral-Gel Technology For Sustainable And Economical Bauxite Residue Management - Tuan Nguyen,St Lucia,4067.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,, EM Solutions Pty Ltd,Low-Cost Compact Autonomous Satellite Terminal For Ubiquitous Broadband Communication - Yifan Wang,Tennyson,4105.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,64578.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland - School Of Public Health - Herston,Herston,4006.0,, Australian Defence Force Malaria and Infectious Disease Institute,"Development Of A Novel, Rapid And Non-Invasive Malaria Diagnostic Tool -Maggy Sikulu-Lord",Enoggera,4051.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Mcconnel,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University Of Technology - Translational Research Institute,Woolloongabba,4102.0,," CARP Pharmaceuticals Pty Ltd 
 Metro South Hospital and Health Service - Princess Alexandra Hospital",Towards The Clinic: Development Of A New Cancer Therapeutic - Laura Croft,Woolloongabba,4006.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,South Brisbane,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University Of Technology - Translational Research Institute,Woolloongabba,4102.0,," Metro South Hospital and Health Service 
 Biocomputing Platforms",Developing A Comprehensive Pharmacogenomics System To Prevent Adverse Drug Reactions - Jonathan Ellis,Woolloongabba,4102.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,South Brisbane,294173.0
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,," Graphene Manufacturing Group Pty Ltd 
 Bionics Queensland Limited 
 Konica Minolta Business Solutions Australia Pty Ltd 
 Metro North Hospital and Health Service","Biofabrication For Personalised Vascular Surgery Prognosis, Training, And Treatment  Mark Allenby",St Lucia,4072.0,,22/10/2018,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,," Australian Coal Research Limited 
 Anglo Coal (moranbah North Management) Pty Limited 
 Oaky Creek Coal Pty Ltd",Improving Fine-Coal Production And Safety Through Advanced Froth Management - Yangyang Huai,St Lucia,4067.0,"Coal Handling And Preparation Plant, Oaky Creek Coal, Qld; Coal Handling And Preparation Plant, Moranbah North Mine, Qld.",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,31569.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,," Metro North Hospital and Health Services - The Prince Charles Hospital 
 Sullivan Nicolaides Pathology Pty Ltd",Toward Routine Blood Testing For Early Cardiovascular Disease Detection - Jacky Suen.,Chermside,4032.0,"St. Lucia, Brisbane, Queensland; Parkville, Melbourne, Victoria",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,, Cook Medical Australia Pty Ltd,"Advanced Manufacturing Of Radiopaque, Implantable Micro-Components - Jeffrey Venezuela",St Lucia,4067.0,"95 Brandl St, Eight Mile Plains Qld 4113",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,, Comscentre Pty Ltd,Ai-Based Cyber-Attack Detection And Response System For Queensland Based Smes - Siamak Layeghy,St Lucia,4067.0,15 Mayneview St Milton Qld 4064 Australia,18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,," EMvision Medical Devices Ltd 
 Metro South Hospital and Health Service - Princess Alexandra Hospital",Novel Techniques For Monitoring And Classifying Brain Stroke  Lei Guo,St Lucia,4067.0,"1. Creek St, Brisbane City, Qld, 4000, Australia    2. Ipswich Rd, Woolloongabba, Qld, 4102, Australia",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,," SDI Plastics 
 Fight Food Waste Limited 
 Queensland Strawberry Growers Association Inc 
 LuvaBerry",Finally Biobased And Biodegradable Packaging For Australian Berries - Luigi Vandi,St Lucia,4067.0,"Beenleigh, Queensland 4207",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,, Magnetica Limited,The Development Of The Radiofrequency And Imaging Systems For A Compact 3T Musculoskeletal Mri Scanner  Mingyan Li,Eagle Farm,4009.0,"The University Of Queensland, St Lucia, Qld",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,," Arrow Energy Pty Ltd 
 Queensland Farmers' Federation Ltd 
 Santos Limited 
 Australia Pacific LNG Pty Limited 
 Comet Ridge Galilee Pty Ltd 
 Southern Queensland Landscapes 
 CSIRO",Enabling Transition: Understanding Co-Benefits Of New Energy Projects - Kathy Witt,St Lucia,4067.0,"Dalby, Chinchilla, Wandoan, Miles, Roma, Charleville, Clermont, Barcaldine, Moranbah, Dysart, Warwick, Gladstone - All In Queensland.  Possibly Hastings Point, Victoria As A Case Study",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,, Boeing Defence Australia Ltd,Integrated Computational Materials Model Using Ai For Advanced Manufacturing  Yunpeng Zhang,St Lucia,4067.0,"The University Of Queensland, St Lucia, Brisbane",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,, Queensland Urban Utilities,Aggregated Algal / Bacterial Flocs For Wastewater Treatment And Algae Industries- Andrew Ward ,Pinkenba,4008.0,,18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,," Ridley Corporation Limited 
 Darwalla Milling Co Pty Ltd",Green Nanotechnology-Based Antibiotic-Free Poultry Feed Against Coccidiosis  Jie Tang,St Lucia,4067.0,"Ridley Facilities In Clifton, Toowoomba And Townsville, Qld? Darwalla Facillities In Gatton, Waterford And Mount Cotton, Qld.",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,, Australian Coal Research Limited,Implementing Non-Dangerous Frothers In Coal Preparation Plants  Yufan Mu,St Lucia,4067.0,"Daunia Coal Mine, Oaky Creek Coal, Newlands Coal",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,," Dunblane Pastoral Holdings Pty Ltd 
 ND and MA O Dempsey 
 Warroo Station Pty Ltd 
 BAM Pastoral 
 Department of Agriculture and Fisheries - Dutton Park 
 Boehringer-Ingelheim Animal Health Australia Pty Ltd 
 University of the Sunshine Coast",Bioclay Innovation: Sustainable Alternative To Pesticides For Protecting QueenslandS Livestock - Karishma Mody,St Lucia,4067.0,"42164 Landsborough Highway, Barcaldine Qld 4725 (5%);  Warroo Station,  Inglewood Qld 4387 (5%); 6 Oakbar Close, Springfield Qld 4300 (10%);  41 Boggo Road, Dutton Park, Qld 4102 (20%).",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,, Queensland Urban Utilities,Create A Stronger Economic Driver For Biogas Production And Utilization- Chunyu Lai,St Lucia,4067.0,"Pinkenba, Brisbane, Qld",18/11/2019,Brisbane (C),Brisbane And Redlands,Maiwar,139682.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Queensland University Of Technology,Brisbane City,4000.0,," Pathology Queensland 
 Translational Research Institute Trust 
 Metro South Hospital and Health Service - Princess Alexandra Hospital",A Personalised Blood Test For Better Prostate Cancer Patient Outcome - Jyotsna Batra,Woolloongabba,4102.0,,18/11/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Queensland University Of Technology,Brisbane City,4000.0,," Department of Environment and Science 
 Department of Natural Resources, Mines and Energy - Dutton Park",Protecting The Great Barrier Reef By Quantifying Fine Sediment Discharge - Daniel Livsey,Dutton Park,4102.0,"Cairns, Ingham, Townsville, Rockhampton, Mackay And Bundaberg",18/11/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Queensland University Of Technology,Kelvin Grove,4059.0,," Inventia Life Science Operations Pty Ltd 
 Gelomics Pty Ltd 
 Mater Misericordiae Ltd",Bioengineered Platforms For Individualised Therapy Guidance In Breast Cancer - Nathalie Bock,Kelvin Grove,4159.0,,18/11/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,300000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Queensland University Of Technology,Brisbane City,4000.0,, Carpe Vitae Pharmaceuticals Pty Ltd,The Development Of A New Compound To Treat Alzheimer'S Disease - Dr Alexander Martyn,Woolloongabba,4102.0,"Princess Alexandra Hospital, Brisbane",18/11/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,180000.0
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Griffith University,Nathan,4111.0,," Minjerribah Moorgumpin Elders-in-Council Aboriginal Corporation 
 Department of Environment and Science - Brisbane",Wetlands For Improving Water Quality Of The Great Barrier Reef- Fernanda Adame,Nathan,4111.0,"400 George Streeet, Brisbane City, 4000.  Cardwell, 4949, And Innisfail, 4860, Qld.",18/11/2019,Brisbane (C),Brisbane And Redlands,Toohey,300000.0
